marketplace,pid,url,title,option_text,tier,duration,delivery,price_rub,strong_signal,glitched,glitch_reason
ggsel,102559894,https://ggsel.net/catalog/product/102559894,"Купить MiniMax AI Plus/Max/Ultra 1-12M, Credits Top-up | FAST, OFFICIAL",MiniMax AI Plus - 1 Месяц,Plus,1m,unknown,2199.0,True,False,
ggsel,102559894,https://ggsel.net/catalog/product/102559894,"Купить MiniMax AI Plus/Max/Ultra 1-12M, Credits Top-up | FAST, OFFICIAL",MiniMax AI Plus - 12 Месяцев,Plus,12m,unknown,24499.0,True,False,
ggsel,102559894,https://ggsel.net/catalog/product/102559894,"Купить MiniMax AI Plus/Max/Ultra 1-12M, Credits Top-up | FAST, OFFICIAL",MiniMax AI Max - 1 Месяц,Max,1m,unknown,7599.0,True,False,
ggsel,102559894,https://ggsel.net/catalog/product/102559894,"Купить MiniMax AI Plus/Max/Ultra 1-12M, Credits Top-up | FAST, OFFICIAL",MiniMax AI Max - 12 Месяцев,Max,12m,unknown,64999.0,True,False,
ggsel,102490659,https://ggsel.net/catalog/product/102490659,Купить API для премиум-платформы MiniMax AI | Plus / Max / Ultra | 1 месяц,Максимум 1 месяц,Max,1m,unknown,4899.0,True,False,
ggsel,102490659,https://ggsel.net/catalog/product/102490659,Купить API для премиум-платформы MiniMax AI | Plus / Max / Ultra | 1 месяц,Плюс 1 месяц,Plus,1m,unknown,2200.0,True,False,
ggsel,102250901,https://ggsel.net/catalog/product/102250901,Купить Подписка на тарифный план MINIMAX AI Plus/Max/Ultra на 1 месяц |,PLUS(1 месяц),Plus,1m,unknown,2200.0,True,False,
ggsel,102250901,https://ggsel.net/catalog/product/102250901,Купить Подписка на тарифный план MINIMAX AI Plus/Max/Ultra на 1 месяц |,MAX (1 месяц),Max,1m,unknown,3700.0,True,False,
ggsel,102691373,https://ggsel.net/catalog/product/102691373,Купить Подписка Minimax Hailuo AI Кредиты Пополнение API | Официальная оплата | 1/12 месяцев,Minimax Plus 1 месяц,Plus,1m,unknown,2290.0,True,False,
ggsel,102691373,https://ggsel.net/catalog/product/102691373,Купить Подписка Minimax Hailuo AI Кредиты Пополнение API | Официальная оплата | 1/12 месяцев,Minimax Max 1 месяц,Max,1m,unknown,5790.0,True,False,
